Modality,Model,Method,ASR,Quality (SSIM/PESQ),L2 Energy,WER/Other
Audio,Whisper-Tiny,FGSM,39.0,3.1672288250923155,0.7288347,0.10625236469489292
Audio,Whisper-Tiny,PGD,87.0,3.7957967472076417,0.27496532,0.31779055962071445
Audio,Whisper-Tiny,H-Patch,28.000000000000004,4.030847511291504,0.3873854,0.06808692795584938
Audio,Whisper-Tiny,H-Surgical,33.0,3.551159403324127,0.39569226,0.08869255547695004
Vision,cifar10_resnet20,FGSM,66.0,0.9954837560653687,0.40308094,0.0
Vision,cifar10_resnet20,PGD,97.0,0.9967770576477051,0.36071876,0.0
Vision,cifar10_resnet20,H-Patch,20.0,0.9989869594573975,0.19431366,0.0
Vision,cifar10_resnet20,H-Surgical,30.0,0.9989568591117859,0.19666395,0.0
Vision,cifar10_resnet56,FGSM,48.0,0.9954833984375,0.4030585,0.0
Vision,cifar10_resnet56,PGD,83.0,0.9969125390052795,0.35541475,0.0
Vision,cifar10_resnet56,H-Patch,10.0,0.9989073872566223,0.19326662,0.0
Vision,cifar10_resnet56,H-Surgical,14.000000000000002,0.9988970160484314,0.19506441,0.0
Vision,resnet101,FGSM,92.0,0.9812144637107849,2.7449253,0.0
Vision,resnet101,PGD,100.0,0.9915865063667297,1.9253715,0.0
Vision,resnet101,H-Patch,27.0,0.9984605312347412,0.83727217,0.0
Vision,resnet101,H-Surgical,66.0,0.9982327222824097,0.8618905,0.0
Vision,resnet152,FGSM,88.0,0.9810276031494141,2.745015,0.0
Vision,resnet152,PGD,100.0,0.9915960431098938,1.9199626,0.0
Vision,resnet152,H-Patch,31.0,0.9982777237892151,0.83305097,0.0
Vision,resnet152,H-Surgical,56.00000000000001,0.9981392621994019,0.85179466,0.0
